id,string_remove_stopwords,company_lower,occupation_lower,place_lower,keywords_combined
1,eazy cash student want earn extra pocket money flexible schedule required work least one weekend per week nice people work,charles & keith,retail assistant,city hall,eazy cash student want earn extra pocket money flexible schedule required work least one weekend per week nice people work retail assistant charles & keith city hall
2,working charles keith definitely good opportunity meet different kinds people different profile provide proper customer service trainings staff best part working hours environment,charles & keith,fashion advisor,jurong point,working charles keith definitely good opportunity meet different kinds people different profile provide proper customer service trainings staff best part working hours environment fashion advisor charles & keith jurong point
3,charles keith well known local brand singapore asian countries working culture fastpaced quite stressful though since popular tourist everyday busy day work help become adaptable flexible terms working hours working time bit longer usual employee use work 10 hrs day 5 days without time pay neverthelessi still grateful working company ive learned lot use future,charles & keith,boutique manager,singapore,charles keith well known local brand singapore asian countries working culture fastpaced quite stressful though since popular tourist everyday busy day work help become adaptable flexible terms working hours working time bit longer usual employee use work 10 hrs day 5 days without time pay neverthelessi still grateful working company ive learned lot use future boutique manager charles & keith singapore
4,even tho part timer still need work frm opening closing certain days might need go home 11pm cleaning arranging things,charles & keith,retail assistant,vivo city,even tho part timer still need work frm opening closing certain days might need go home 11pm cleaning arranging things retail assistant charles & keith vivo city
5,recommend friends buy product charleskeith quality footware bags really good price well,charles & keith,sales associate,al ain,recommend friends buy product charleskeith quality footware bags really good price well sales associate charles & keith al ain
6,love much brand despite circumstances lack organise provide brand needed terms business demands every month year achieve goals,charles & keith,sales associate,dubai,love much brand despite circumstances lack organise provide brand needed terms business demands every month year achieve goals sales associate charles & keith dubai
7,pro understanding cooperative teams proactive managers cons salary market standard growth slow,charles & keith,fashion consultant,delhi,pro understanding cooperative teams proactive managers cons salary market standard growth slow fashion consultant charles & keith delhi
8,part time position great students levels polytechnic well students free days school schedule able balance work school family friends well,charles & keith,senior part-time sales associate,woodlands,part time position great students levels polytechnic well students free days school schedule able balance work school family friends well senior part-time sales associate charles & keith woodlands
9,long working hours much work tired work inadequate breaks tasks provided worth income time family enough,charles & keith,retail associate,kuala lumpur,long working hours much work tired work inadequate breaks tasks provided worth income time family enough retail associate charles & keith kuala lumpur
10,best job contract offer seasonal employee helped ermita store reaches target sales quota month december able sell lot products assist guest properly,charles & keith,seasonal cashier sales crew,"ermita, manila","best job contract offer seasonal employee helped ermita store reaches target sales quota month december able sell lot products assist guest properly seasonal cashier sales crew charles & keith ermita, manila"
11,job required taxing fast paced meet daily store personal kpi like sales assistant would assist inventory well customer service qualities trained charles keith well,charles & keith,customer service executive,singapore,job required taxing fast paced meet daily store personal kpi like sales assistant would assist inventory well customer service qualities trained charles keith well customer service executive charles & keith singapore
12,ck good enviroment work fun also learn many things ck give chance would work back staff superior friendly helpfull need help,charles & keith,visual merchandiser,johor bahru,ck good enviroment work fun also learn many things ck give chance would work back staff superior friendly helpfull need help visual merchandiser charles & keith johor bahru
13,great time learn lot things like management direct selling stock taking keeping inventory training target orientation etc,charles & keith,store manager,faisalabad,great time learn lot things like management direct selling stock taking keeping inventory training target orientation etc store manager charles & keith faisalabad
14,fun happy environment workplace handling stocks weekly report good teamwork customer service new fashion update every 2 weeks fashion forward company,charles & keith,senior retail associate,petaling jaya,fun happy environment workplace handling stocks weekly report good teamwork customer service new fashion update every 2 weeks fashion forward company senior retail associate charles & keith petaling jaya
15,typical day charles keith part time retail associate fast paced good customer relationship needs upheld think feet,charles & keith,retail assistant,ngee ann city,typical day charles keith part time retail associate fast paced good customer relationship needs upheld think feet retail assistant charles & keith ngee ann city
16,depending outlet assigned instance high customer definitely notice fast time pass also helped developed good communication skills customers,charles & keith,"part-time, promoter",tiong bahru,"depending outlet assigned instance high customer definitely notice fast time pass also helped developed good communication skills customers part-time, promoter charles & keith tiong bahru"
17,top management frequently micromanages basically clueless drive business effective methods high stress level respect personal space life,charles & keith,,,
18,pros professional learning types bags shoes accessories fashion forward product launching every week people good cons take times progress need high sales achievers good attendance good performance candidates,charles & keith,management trainee,singapore,pros professional learning types bags shoes accessories fashion forward product launching every week people good cons take times progress need high sales achievers good attendance good performance candidates management trainee charles & keith singapore
19,• design develop sophisticated product collections charles keith charles keith signature brands • liaise relevant parties eg factories suppliers etc merchandise development constructions • perform costing competitiveness study merchandise materials • perform regional product design development customisation accordance needs market overseas ’ partners • perform analysis feedback sales data understand customers ’ needs • conduct market online research current future trends • attend fairs buying trip outside singapore effectively design develop products categories according time line kpi discussed management • information center product development details changes china maintain regular communication product development manager provide informative updates • produce meet deadline specific number products planned product development manager • confirm sample details sending items singapore order improve efficiency • constantly source create new materials used current future product development,charles & keith,product development executive,dongguan,• design develop sophisticated product collections charles keith charles keith signature brands • liaise relevant parties eg factories suppliers etc merchandise development constructions • perform costing competitiveness study merchandise materials • perform regional product design development customisation accordance needs market overseas ’ partners • perform analysis feedback sales data understand customers ’ needs • conduct market online research current future trends • attend fairs buying trip outside singapore effectively design develop products categories according time line kpi discussed management • information center product development details changes china maintain regular communication product development manager provide informative updates • produce meet deadline specific number products planned product development manager • confirm sample details sending items singapore order improve efficiency • constantly source create new materials used current future product development product development executive charles & keith dongguan
20,feel valued trusted sense purpose job proud work opportunities develop personally professionally encouraged balance work personal lives feel able put needs ahead business committed best enjoy working colleagues deliver organisations goals customer focused brand ambassadors business,charles & keith,asst. store in charge,dubai,feel valued trusted sense purpose job proud work opportunities develop personally professionally encouraged balance work personal lives feel able put needs ahead business committed best enjoy working colleagues deliver organisations goals customer focused brand ambassadors business asst. store in charge charles & keith dubai
21,arrive work 1 hour opening stocks last 15 minutes briefing share new arrivals give feedbacks learn communicate customers professionally upsell items sales,charles & keith,sales associate,singapore,arrive work 1 hour opening stocks last 15 minutes briefing share new arrivals give feedbacks learn communicate customers professionally upsell items sales sales associate charles & keith singapore
22,’ eye opener working environment especially one keen fashion industry generally people friendly helpful one able receive staff discounts able participate team building activities including part timers one left behind supportive colleaguesfriends,charles & keith,retail assistant,plaza singapura,’ eye opener working environment especially one keen fashion industry generally people friendly helpful one able receive staff discounts able participate team building activities including part timers one left behind supportive colleaguesfriends retail assistant charles & keith plaza singapura
23,staff store ’ friendliest welcoming new employee may chinese could make someone feel left overall ’ tiring job,charles & keith,retail assistant,tampines,staff store ’ friendliest welcoming new employee may chinese could make someone feel left overall ’ tiring job retail assistant charles & keith tampines
24,cheating staffs payroll resignation paying amout deserved using hr terms worst ecommerce graphic team lead anger issues hr trustworthy cheat even though deserve even small amount regardless long served,charles & keith,graphic designer,"singapur, pr","cheating staffs payroll resignation paying amout deserved using hr terms worst ecommerce graphic team lead anger issues hr trustworthy cheat even though deserve even small amount regardless long served graphic designer charles & keith singapur, pr"
25,en charles kieth aprendido muchos cosas por ejemplo cómo puedo comunicar con los clientes cómo puedo líder cómo controlar la situación difícil,charles & keith,store manager,"jordana, murcia provincia","en charles kieth aprendido muchos cosas por ejemplo cómo puedo comunicar con los clientes cómo puedo líder cómo controlar la situación difícil store manager charles & keith jordana, murcia provincia"
26,promoting job helpful getting experience clothing market job tough work 10 hours straight hour break learnt lot internship helped throughout understand clothing fashion line works,charles & keith,promoter,mall of the emirates,promoting job helpful getting experience clothing market job tough work 10 hours straight hour break learnt lot internship helped throughout understand clothing fashion line works promoter charles & keith mall of the emirates
27,typical local start company traditional values good benefits strict attendance supervision nice office building gym kitchen staff cook,charles & keith,executive,singapore,typical local start company traditional values good benefits strict attendance supervision nice office building gym kitchen staff cook executive charles & keith singapore
28,good company management recognising hard work people give promotion perform well job great place work people started workingg,charles & keith,assistant manager,singapore,good company management recognising hard work people give promotion perform well job great place work people started workingg assistant manager charles & keith singapore
29,charles keith offered lot insight fashion world allowed part customers wanted attract helped understand trend present customers daily basis,charles & keith,fashion consultant,"kolkata, west bengal","charles keith offered lot insight fashion world allowed part customers wanted attract helped understand trend present customers daily basis fashion consultant charles & keith kolkata, west bengal"
30,journey company amazing got work closely senior management worth working company hold international renowned franchise businesses major brands umbrella,charles & keith,assistant store manager,"delhi, delhi","journey company amazing got work closely senior management worth working company hold international renowned franchise businesses major brands umbrella assistant store manager charles & keith delhi, delhi"
31,fun interactive workplace encouraging employees start conversation clients getting know people want also helping understand need,charles & keith,sales advisor,islamabad,fun interactive workplace encouraging employees start conversation clients getting know people want also helping understand need sales advisor charles & keith islamabad
32,nice job professional experienced hard sell brand well known world high class good quality proud work brand,charles & keith,sales associate,ezdan mall doha qatar.,nice job professional experienced hard sell brand well known world high class good quality proud work brand sales associate charles & keith ezdan mall doha qatar.
33,supervisor need know everything store also work staff patience energetic good example staff need adjust also working time shift changing everyday 1 year working charles keith ive learned lot really used present work,charles & keith,store supervisor,"sm north edsa, philippines","supervisor need know everything store also work staff patience energetic good example staff need adjust also working time shift changing everyday 1 year working charles keith ive learned lot really used present work store supervisor charles & keith sm north edsa, philippines"
34,far good think want hold position company alot commitment start arrange everything quit job start carrier,charles & keith,sales assistant,sepang,far good think want hold position company alot commitment start arrange everything quit job start carrier sales assistant charles & keith sepang
35,enjoyable part job customer satisfied service come work positive mindset get day even tired,charles & keith,retail sales,wisma atria,enjoyable part job customer satisfied service come work positive mindset get day even tired retail sales charles & keith wisma atria
36,briefing every morning top managementdiscuss yesterdays sales learned patience leadmanage deal unhappy customers make loyal store hardest part receiving big quantity products organize stock store hours best part team working hard u see results proud job,charles & keith,store manager,"yerevan, am","briefing every morning top managementdiscuss yesterdays sales learned patience leadmanage deal unhappy customers make loyal store hardest part receiving big quantity products organize stock store hours best part team working hard u see results proud job store manager charles & keith yerevan, am"
37,international brand good presence asia good brand get hands experience areas business low growth potential organisation flat reporting structure,charles & keith,commercial manager,singapore,international brand good presence asia good brand get hands experience areas business low growth potential organisation flat reporting structure commercial manager charles & keith singapore
38,typical day work learned company system scannerand hardest part unload containers box box enjoyable part job daily pickings,charles & keith,warehouse assistant,tai seng,typical day work learned company system scannerand hardest part unload containers box box enjoyable part job daily pickings warehouse assistant charles & keith tai seng
39,work charles keith mangement trainee required school job training 1 year charles keith one best company learn knowledge especially deal personculture nice way need patience,charles & keith,management trainee,singapore,work charles keith mangement trainee required school job training 1 year charles keith one best company learn knowledge especially deal personculture nice way need patience management trainee charles & keith singapore
40,working charles keith opened eyes world ecommerce busy throughout day management encouraging got sense fulfillment end every workday,charles & keith,packer,charles & keith hq,working charles keith opened eyes world ecommerce busy throughout day management encouraging got sense fulfillment end every workday packer charles & keith charles & keith hq
41,working charles keith great experience mea lot learningstrainings knowledge helps boost self confidencefor every day learning day charles keithin terms managementthey actually followed standard policies procedure enjoyed working bunch colleagues charles keith serves 2nd family,charles & keith,sales executive/display in charge/fashion advisor,philippines,working charles keith great experience mea lot learningstrainings knowledge helps boost self confidencefor every day learning day charles keithin terms managementthey actually followed standard policies procedure enjoyed working bunch colleagues charles keith serves 2nd family sales executive/display in charge/fashion advisor charles & keith philippines
